Energy[MeV/u],Depth[mm],Sigma_fit[mm],Sigma[mm]
305.71,-150.0,3.0278322180665826,3.0278322180665826
305.71,0.0,2.645637407931951,2.645637407931951
305.71,150.0,2.276182424801807,2.276182424801807
305.71,300.0,1.9789197946970933,1.9789197946970933
307.77,-300.0,3.452493118216174,3.452493118216174
307.77,-150.0,3.0129690865613474,3.0129690865613474
307.77,0.0,2.609541231419236,2.609541231419236
307.77,150.0,2.2528260752935796,2.2528260752935796
307.77,300.0,1.9152206596746546,1.9152206596746546
309.82,-300.0,3.410027028201214,3.410027028201214
309.82,-150.0,3.015092391062095,3.015092391062095
309.82,0.0,2.5861848819110085,2.5861848819110085
309.82,150.0,2.2570726842950757,2.2570726842950757
309.82,300.0,1.9385770091828822,1.9385770091828822
311.87,-300.0,3.3781774606899955,3.3781774606899955
311.87,-150.0,2.974749605547884,2.974749605547884
311.87,0.0,2.5798149684087646,2.5798149684087646
311.87,150.0,2.244332857290588,2.244332857290588
311.87,300.0,1.915220659674655,1.915220659674655
313.91,-300.0,3.3739308516884994,3.3739308516884994
313.91,-150.0,2.974749605547884,2.974749605547884
313.91,0.0,2.545842096396797,2.545842096396797
313.91,150.0,2.2358396392875957,2.2358396392875957
313.91,300.0,1.9300837911798903,1.9300837911798903
315.95,-300.0,3.333588066174288,3.333588066174288
315.95,-150.0,2.9705029965463883,2.9705029965463883
315.95,0.0,2.5585819234012854,2.5585819234012854
315.95,150.0,2.2613192932965713,2.2613192932965713
315.95,300.0,1.949193531686622,1.949193531686622
317.99,-300.0,3.3505745021802715,3.3505745021802715
317.99,-150.0,2.9662563875448917,2.9662563875448917
317.99,0.0,2.569198445905025,2.569198445905025
317.99,150.0,2.263442597797319,2.263442597797319
317.99,300.0,1.942823618184378,1.942823618184378
320.02,-300.0,3.393040592195231,3.393040592195231
320.02,-150.0,2.97899621454938,2.97899621454938
320.02,0.0,2.5649518369035285,2.5649518369035285
320.02,150.0,2.2549493797943274,2.2549493797943274
320.02,300.0,1.908850746172411,1.908850746172411
322.04,-300.0,3.291121976159329,3.291121976159329
322.04,-150.0,2.898310643520958,2.898310643520958
322.04,0.0,2.5458420963967976,2.5458420963967976
322.04,150.0,2.2294697257853517,2.2294697257853517
322.04,300.0,1.947070227185874,1.947070227185874
324.06,-300.0,3.3994105056974746,3.3994105056974746
324.06,-150.0,3.0150923910620953,3.0150923910620953
324.06,0.0,2.58406157741026,2.58406157741026
324.06,150.0,2.252826075293579,2.252826075293579
324.06,300.0,1.8770011786611915,1.8770011786611915
326.08,-300.0,3.2359160591398823,3.2359160591398823
326.08,-150.0,2.881324207514974,2.881324207514974
326.08,0.0,2.5309789648915615,2.5309789648915615
326.08,150.0,2.223099812283108,2.223099812283108
326.08,300.0,1.959810054190362,1.959810054190362
328.09,-300.0,3.367560938186256,3.367560938186256
328.09,-150.0,2.9726263010471357,2.9726263010471357
328.09,0.0,2.5585819234012845,2.5585819234012845
328.09,150.0,2.227346421284604,2.227346421284604
328.09,300.0,1.8982342236686711,1.8982342236686711
330.09,-300.0,3.376054156189247,3.376054156189247
330.09,-150.0,2.972626301047136,2.972626301047136
