energy_mevu,rmse_mm,isocenter_error_mm,sigma_source_mm,sigma_prime_rad,correlation
233.58,0.000619153927289388,0.0007224855372638395,1.6800601989856554,0.003203797349702636,-0.24005028851604054
235.94,7.302857484932772e-05,8.532745672251707e-05,1.6424742718005774,0.00314268251883615,-0.21438750746188598
238.29,2.4572280895154055e-05,2.8740360026979772e-05,1.6408739352501693,0.0031062767828608823,-0.2149301433367569
240.63,0.0007230015032649007,0.0008467632209487874,1.6031608788514067,0.0030446156723918003,-0.18733168133645953
242.95,0.0006526557915861775,0.0007656455567790488,1.6094654425534847,0.0030106116471504056,-0.18444819390923528
245.25,0.001358995915637015,0.0015964192324791071,1.5716862844578543,0.002948264961630968,-0.15463635290563504
247.54,0.0008695239398451875,0.0010217318203946668,1.5718747760074316,0.0029299908980667073,-0.1607323519274845
249.82,0.0013350327139951875,0.0015690850664902278,1.563107746064039,0.00290967955907012,-0.15891604157845432
252.09,0.002046670742389986,0.002408799263800443,1.525138760743332,0.0028467819787695663,-0.12675160667901877
254.34,0.0016905114816240852,0.0019936942335778696,1.5037156599511428,0.0027874982487048556,-0.09734120232216362
256.58,0.0009685953364305945,0.0011439054145867544,1.4650364051080635,0.002723251502185298,-0.06011774267968207
258.81,0.0012378556915423025,0.001462275869430485,1.4564459612890865,0.0027029217912710323,-0.05747187938859102
261.03,0.001180253428678138,0.0013966842316692762,1.4645188013768937,0.0026685645983513936,-0.05477116465317224
263.23,0.001753256442205363,0.002078390363050353,1.3952928521460752,0.0025762486145778523,0.020697054624948672
265.43,0.00045466544936426524,0.0005391314640124101,1.3868440576421266,0.0025558865428291703,0.02408040092710121
267.62,0.0004044592237522778,0.000480459656606147,1.3958504538168928,0.002521162170598821,0.026726604557710847
269.8,0.0010476357239843676,0.001245250952135013,1.3564397886147121,0.0024728551712206092,0.06816240512419701
271.97,0.0011611975958754337,0.0013806418949231514,1.3481183522840003,0.0024524941348255083,0.07197565813035817
274.13,0.0004388995695899503,0.0005235134618915005,1.283729266148285,0.002337746515873869,0.18402283925118987
276.28,0.0026495611793007036,0.003161353413828838,1.2755398676494443,0.002317270726178924,0.1891029841942364
278.42,0.0002444616876706204,0.0002922093203618914,1.1992228096506288,0.0022160066210177736,0.3133350826065766
280.56,0.0024777258853057246,0.0029646173865596204,1.210403182683034,0.0021992253766806064,0.3059394595166833
282.69,0.00026532746523244,0.0003175720541848115,1.2023117835669623,0.002178579121861019,0.3126036283306981
284.81,0.0012934170407625039,0.001550718169228471,1.111215910342992,0.0020698730969032865,0.48903297638669196
286.93,0.0012741252165220506,0.001530475542156573,1.1246073854574319,0.0020326585993479976,0.4911796659828354
289.04,0.0001553358414287563,0.00018671270352088598,1.07850254768692,0.0019771288150505738,0.5847279542438527
291.14,0.0015835725148922802,0.0019047168512047463,1.0307967855915956,0.0019205088291993954,0.691838300356868
293.24,0.002844367458967594,0.003427229002451959,1.0338252223546003,0.0018788025367403093,0.7218179460674655
295.33,0.0014215309208738458,0.001713990803558385,0.9845576489900256,0.0018200986439729195,0.8498156409437186
297.42,0.0008000310817809157,0.0009656421955019923,0.9988160711763432,0.0018022565277939077,0.8338672869673328
299.5,0.0022189564320867316,0.0026801488007106578,0.9482839666346341,0.001741808815140981,0.980992370717334
301.57,0.0041833101103381865,0.007000521470193366,0.946120001036089,0.0017159999999671975,0.999999
303.64,0.0027386266141856902,0.004000509160773991,0.955440007597345,0.0016920000076801511,0.999999
305.71,0.005000014274506093,0.005000519520177438,0.952599999701635,0.0016800000003374125,0.999999
307.77,0.007582889879389858,0.00900051808619029,0.9676400014036758,0.0016520000005309145,0.999999
309.82,0.010000014269283018,0.010000514592651832,0.9648000018810098,0.0016400000011876973,0.999999
311.87,0.012549914392388662,0.01100050746540493,0.961960004207525,0.0016280000044615493,0.999999
313.91,0.012942193306877785,0.017000513340167167,0.9777200007526883,0.0015960000003753343,0.999999
315.95,0.01516576516364704,0.018000508788311276,0.9748800016431687,0.0015840000019045125,0.999999
317.99,0.012549914654523086,0.014000500813793337,0.9770400053840073,0.0015720000062791914,0.999999
320.02,0.01781854387123361,0.02200050822040689,0.9799200022913611,0.0015559999974101633,0.999999
322.04,0.01753569211747896,0.019000508553639328,0.9892399943429427,0.0015320000066381615,0.999999
324.06,0.020000014055194595,0.020000505530115564,0.9863999963596025,0.0015200000041685614,0.999999
326.08,0.022748640420436634,0.027000499104411713,0.982120004673639,0.0015159999987893241,0.999999
