energy_mevu,measured_r80_mm,fitted_r80_mm,r80_delta_mm,normalized_rmse,normalized_max_abs_error,spectrum_components,spectrum_mean_mevu
309.82,174.038125,174.01521965736197,-0.022905342638040338,0.006625299574882001,0.013466149280618511,8.0,301.14913158444693
311.87,176.1006916426513,176.05709675634824,-0.043594886303054636,0.0073169757151416905,0.016406325563970037,9.0,303.3666898794251
313.91,178.0639312039312,178.0649017832639,0.0009705793327157153,0.006475957199840219,0.012955285756588688,8.0,305.5073665076226
315.95,180.62626231993934,180.67331700431134,0.04705468437200011,0.00707178727673687,0.014176301105073126,8.0,307.8857438300508
317.99,182.0812762973352,182.01869079832133,-0.06258549901386345,0.0069364523884218685,0.014781363389852226,9.0,309.4234589473691
320.02,184.54239949748742,184.58343193188477,0.04103243439735138,0.006972240746041975,0.014955816426494295,8.0,311.78613944713373
322.04,186.03608878683505,185.97839284357855,-0.057695943256504734,0.008638513449962276,0.018711805597847797,9.0,313.49891306249856
324.06,188.25024590163935,188.25122298150492,0.0009770798655779345,0.0074856488937536415,0.01650447427293065,8.0,315.6300085771511
326.08,190.4748831279218,190.47741647389452,0.0025333459727221452,0.007127606386497502,0.017150756693830035,8.0,317.8403879529493
328.09,192.40074654721911,192.40450221645978,0.0037556692406610637,0.007548736337488656,0.01710268469527729,8.0,319.88624482346364
330.09,194.5880744398025,194.64281467450158,0.05474023469906797,0.008714731356105471,0.019596387096774196,7.0,322.0664240544733
332.09,196.4016784378895,196.4138368166628,0.012158378773307277,0.0078079699087723175,0.019941062964050505,8.0,323.9164421365314
334.09,198.3419795221843,198.3183865502979,-0.023592971886387204,0.007929128918614328,0.020102735901730878,9.0,325.82452386799105
336.08,200.28184347826087,200.26948537896686,-0.012358099294004887,0.007947730333233772,0.02061744562005308,9.0,327.7311379763222
338.06,202.33265060240964,202.34919093757887,0.016540335169224818,0.008703811728331205,0.021238435779556163,8.0,329.956657608105
340.04,204.3873349633252,204.37327960501264,-0.014055358312560884,0.008560771410767684,0.02168988301249964,8.0,331.9006670710607
342.01,206.33614199598125,206.32555488723526,-0.010587108745994556,0.008655704812413772,0.023828085813783515,8.0,333.91276710416764
343.97,208.39176917236142,208.44462130811047,0.05285213574904901,0.008960849061969537,0.023877873209449185,9.0,335.96740787375336
345.93,210.3913776944705,210.40481978757296,0.013442093102469244,0.008524145143784063,0.02457649036596405,8.0,337.94194431044247
347.88000000000005,212.46131282051283,212.5033841220539,0.04207130154105698,0.008559087714202567,0.024794644589612575,9.0,340.07589778633064
349.83,214.10149004495824,214.1128254167719,0.011335371813657957,0.009366072565431,0.025135918811163466,8.0,341.68916936253237
351.77,216.2336672629696,216.23644864470984,0.0027813817402488894,0.008977040616923775,0.027896886166411432,8.0,343.6855623710345
353.7,218.28704021094265,218.30753265230834,0.02049244136568973,0.009816990420272185,0.027779821656943638,7.0,345.7309942403915
