BeamNumber,BeamName,LayerIndex,ControlPointIndex,Energy_MeVu,SpotIndex,X_mm,Y_mm,MetersetWeight_MU,RelativeWeight,PlanRelativeWeight,NumberOfPaintings,WeightPerPainting_MU,FWHM_X_mm,FWHM_Y_mm,LowStatisticsAnchor,OriginalSpotIndex,OriginalSpotMetersetWeight_MU
1,1,24,46,195.66,5,45.900001525878906,58.0,2469.532099342346,0.0020114718602048274,0.0020114718602048274,1,2469.532099342346,10.11205005645752,10.11205005645752,y_max,306,23.214500427246097
1,1,25,48,198.36,1,-0.8999999761581421,1.0,2576.1458953857423,0.002098310436106723,0.002098310436106723,1,2576.1458953857423,10.11205005645752,10.11205005645752,center,577,20.392900466918945
1,1,25,48,198.36,2,-56.29999923706055,-3.0,2576.1458953857423,0.002098310436106723,0.002098310436106723,1,2576.1458953857423,10.11205005645752,10.11205005645752,x_min,420,22.01129913330078
1,1,25,48,198.36,3,56.29999923706055,-2.0,2576.1458953857423,0.002098310436106723,0.002098310436106723,1,2576.1458953857423,10.11205005645752,10.11205005645752,x_max,119,20.40290069580078
1,1,25,48,198.36,4,-0.8999999761581421,-57.0,2576.1458953857423,0.002098310436106723,0.002098310436106723,1,2576.1458953857423,10.11205005645752,10.11205005645752,y_min,43,21.840599060058594
1,1,25,48,198.36,5,26.799999237060547,57.0,2576.1458953857423,0.002098310436106723,0.002098310436106723,1,2576.1458953857423,10.11205005645752,10.11205005645752,y_max,507,24.80030059814453
1,1,26,50,201.03,1,-0.8999999761581421,-1.0,2722.2840814590454,0.0022173422353152076,0.0022173422353152076,1,2722.2840814590454,9.978099822998049,9.978099822998049,center,457,21.728900909423828
1,1,26,50,201.03,2,-56.29999923706055,-3.0,2722.2840814590454,0.0022173422353152076,0.0022173422353152076,1,2722.2840814590454,9.978099822998049,9.978099822998049,x_min,308,22.55039978027344
1,1,26,50,201.03,3,56.29999923706055,6.0,2722.2840814590454,0.0022173422353152076,0.0022173422353152076,1,2722.2840814590454,9.978099822998049,9.978099822998049,x_max,200,20.68079948425293
1,1,26,50,201.03,4,19.899999618530273,-57.0,2722.2840814590454,0.0022173422353152076,0.0022173422353152076,1,2722.2840814590454,9.978099822998049,9.978099822998049,y_min,390,23.923799514770508
1,1,26,50,201.03,5,42.400001525878906,58.0,2722.2840814590454,0.0022173422353152076,0.0022173422353152076,1,2722.2840814590454,9.978099822998049,9.978099822998049,y_max,217,20.855300903320312
1,1,27,52,203.67,1,-0.8999999761581421,3.0,2775.660438346863,0.002260818098580434,0.002260818098580434,1,2775.660438346863,9.846500396728516,9.846500396728516,center,537,22.05179977416992
1,1,27,52,203.67,2,-56.29999923706055,-3.0,2775.660438346863,0.002260818098580434,0.002260818098580434,1,2775.660438346863,9.846500396728516,9.846500396728516,x_min,65,22.875200271606445
1,1,27,52,203.67,3,56.29999923706055,0.0,2775.660438346863,0.002260818098580434,0.002260818098580434,1,2775.660438346863,9.846500396728516,9.846500396728516,x_max,408,21.32740020751953
1,1,27,52,203.67,4,23.399999618530273,-57.0,2775.660438346863,0.002260818098580434,0.002260818098580434,1,2775.660438346863,9.846500396728516,9.846500396728516,y_min,374,23.22610092163086
1,1,27,52,203.67,5,14.699999809265137,58.0,2775.660438346863,0.002260818098580434,0.002260818098580434,1,2775.660438346863,9.846500396728516,9.846500396728516,y_max,585,20.718900680541992
1,1,28,54,206.28,1,-0.8999999761581421,1.0,2830.5485385894776,0.0023055253000488917,0.0023055253000488917,1,2830.5485385894776,9.721949577331545,9.721949577331545,center,626,22.374500274658203
1,1,28,54,206.28,2,-56.29999923706055,-3.0,2830.5485385894776,0.0023055253000488917,0.0023055253000488917,1,2830.5485385894776,9.721949577331545,9.721949577331545,x_min,274,23.371299743652344
1,1,28,54,206.28,3,56.29999923706055,-2.0,2830.5485385894776,0.0023055253000488917,0.0023055253000488917,1,2830.5485385894776,9.721949577331545,9.721949577331545,x_max,509,22.27050018310547
1,1,28,54,206.28,4,40.70000076293945,-57.0,2830.5485385894776,0.0023055253000488917,0.0023055253000488917,1,2830.5485385894776,9.721949577331545,9.721949577331545,y_min,452,24.2893009185791
1,1,28,54,206.28,5,7.800000190734863,58.0,2830.5485385894776,0.0023055253000488917,0.0023055253000488917,1,2830.5485385894776,9.721949577331545,9.721949577331545,y_max,233,19.87829971313477
1,1,29,56,208.87,1,0.8999999761581421,-2.0,3010.216400337219,0.002451867535561844,0.002451867535561844,1,3010.216400337219,9.602100372314451,9.602100372314451,center,448,23.468799591064453
1,1,29,56,208.87,2,-56.29999923706055,-3.0,3010.216400337219,0.002451867535561844,0.002451867535561844,1,3010.216400337219,9.602100372314451,9.602100372314451,x_min,83,24.680700302124023
1,1,29,56,208.87,3,56.29999923706055,0.0,3010.216400337219,0.002451867535561844,0.002451867535561844,1,3010.216400337219,9.602100372314451,9.602100372314451,x_max,306,23.30610084533691
1,1,29,56,208.87,4,-35.5,-57.0,3010.216400337219,0.002451867535561844,0.002451867535561844,1,3010.216400337219,9.602100372314451,9.602100372314451,y_min,622,24.3966007232666
1,1,29,56,208.87,5,0.8999999761581421,58.0,3010.216400337219,0.002451867535561844,0.002451867535561844,1,3010.216400337219,9.602100372314451,9.602100372314451,y_max,491,22.521699905395508
1,1,30,58,211.44,1,-0.8999999761581421,3.0,3104.604516983032,0.0025287481076432293,0.0025287481076432293,1,3104.604516983032,9.486949920654297,9.486949920654297,center,248,24.815200805664062
1,1,30,58,211.44,2,-56.29999923706055,-3.0,3104.604516983032,0.0025287481076432293,0.0025287481076432293,1,3104.604516983032,9.486949920654297,9.486949920654297,x_min,501,24.641700744628903
