BeamNumber,LayerIndex,ControlPointIndex,SpotIndex,Energy_MeVu,Energy_Total_MeV,IEC_X_mm,IEC_Y_mm,TOPAS_LocalX_mm,TOPAS_LocalY_mm,FWHM_IEC_X_mm,FWHM_IEC_Y_mm,Sigma_TOPAS_LocalX_mm,Sigma_TOPAS_LocalY_mm,MetersetWeight_MU,SelectedRelativeWeight,AllocatedHistories
1,11,20,5,157.72,1892.64,21.60000038,58,58,21.60000038,12.1260004,12.1260004,5.149438247,5.149438247,1927.256539,0.001569780079,24
1,12,22,1,160.86,1930.32,0.8999999762,0,0,0.8999999762,12.1260004,12.1260004,5.149438247,5.149438247,1881.774137,0.001532733964,23
1,12,22,2,160.86,1930.32,-56.29999924,-3,-3,-56.29999924,12.1260004,12.1260004,5.149438247,5.149438247,1881.774137,0.001532733964,23
1,12,22,3,160.86,1930.32,56.29999924,4,4,56.29999924,12.1260004,12.1260004,5.149438247,5.149438247,1881.774137,0.001532733964,23
1,12,22,4,160.86,1930.32,-4.300000191,-57,-57,-4.300000191,12.1260004,12.1260004,5.149438247,5.149438247,1881.774137,0.001532733964,23
1,12,22,5,160.86,1930.32,2.599999905,57,57,2.599999905,12.1260004,12.1260004,5.149438247,5.149438247,1881.774137,0.001532733964,23
1,13,24,1,163.95,1967.4,0.8999999762,-2,-2,0.8999999762,11.88864994,11.88864994,5.048644785,5.048644785,1803.583701,0.001469046652,22
1,13,24,2,163.95,1967.4,-56.29999924,5,5,-56.29999924,11.88864994,11.88864994,5.048644785,5.048644785,1803.583701,0.001469046652,22
1,13,24,3,163.95,1967.4,56.29999924,-4,-4,56.29999924,11.88864994,11.88864994,5.048644785,5.048644785,1803.583701,0.001469046652,22
1,13,24,4,163.95,1967.4,23.39999962,-57,-57,23.39999962,11.88864994,11.88864994,5.048644785,5.048644785,1803.583701,0.001469046652,22
1,13,24,5,163.95,1967.4,0.8999999762,58,58,0.8999999762,11.88864994,11.88864994,5.048644785,5.048644785,1803.583701,0.001469046652,22
1,14,26,1,167.01,2004.12,-0.8999999762,-1,-1,-0.8999999762,11.66775036,11.66775036,4.95483737,4.95483737,1931.850518,0.001573521946,24
1,14,26,2,167.01,2004.12,-56.29999924,-3,-3,-56.29999924,11.66775036,11.66775036,4.95483737,4.95483737,1931.850518,0.001573521946,24
1,14,26,3,167.01,2004.12,56.29999924,-16,-16,56.29999924,11.66775036,11.66775036,4.95483737,4.95483737,1931.850518,0.001573521946,24
1,14,26,4,167.01,2004.12,2.599999905,-57,-57,2.599999905,11.66775036,11.66775036,4.95483737,4.95483737,1931.850518,0.001573521946,24
1,14,26,5,167.01,2004.12,2.599999905,57,57,2.599999905,11.66775036,11.66775036,4.95483737,4.95483737,1931.850518,0.001573521946,24
1,15,28,1,170.03,2040.36,-2.599999905,0,0,-2.599999905,11.45625019,11.45625019,4.865021518,4.865021518,1988.6828,0.001619812713,24
1,15,28,2,170.03,2040.36,-56.29999924,5,5,-56.29999924,11.45625019,11.45625019,4.865021518,4.865021518,1988.6828,0.001619812713,24
1,15,28,3,170.03,2040.36,56.29999924,0,0,56.29999924,11.45625019,11.45625019,4.865021518,4.865021518,1988.6828,0.001619812713,24
1,15,28,4,170.03,2040.36,-4.300000191,-57,-57,-4.300000191,11.45625019,11.45625019,4.865021518,4.865021518,1988.6828,0.001619812713,24
1,15,28,5,170.03,2040.36,-30.29999924,58,58,-30.29999924,11.45625019,11.45625019,4.865021518,4.865021518,1988.6828,0.001619812713,24
1,16,30,1,173.01,2076.12,2.599999905,1,1,2.599999905,11.25650024,11.25650024,4.780195526,4.780195526,2072.259516,0.001687887234,25
1,16,30,2,173.01,2076.12,-56.29999924,7,7,-56.29999924,11.25650024,11.25650024,4.780195526,4.780195526,2072.259516,0.001687887234,25
1,16,30,3,173.01,2076.12,56.29999924,0,0,56.29999924,11.25650024,11.25650024,4.780195526,4.780195526,2072.259516,0.001687887234,25
1,16,30,4,173.01,2076.12,54.59999847,-57,-57,54.59999847,11.25650024,11.25650024,4.780195526,4.780195526,2072.259516,0.001687887234,25
1,16,30,5,173.01,2076.12,52.79999924,58,58,52.79999924,11.25650024,11.25650024,4.780195526,4.780195526,2072.259516,0.001687887234,25
1,17,32,1,175.96,2111.52,-4.300000191,-1,-1,-4.300000191,11.06849957,11.06849957,4.700358989,4.700358989,2049.109695,0.001669031349,25
1,17,32,2,175.96,2111.52,-56.29999924,-3,-3,-56.29999924,11.06849957,11.06849957,4.700358989,4.700358989,2049.109695,0.001669031349,25
1,17,32,3,175.96,2111.52,56.29999924,6,6,56.29999924,11.06849957,11.06849957,4.700358989,4.700358989,2049.109695,0.001669031349,25
1,17,32,4,175.96,2111.52,-21.60000038,-57,-57,-21.60000038,11.06849957,11.06849957,4.700358989,4.700358989,2049.109695,0.001669031349,25
1,17,32,5,175.96,2111.52,4.300000191,58,58,4.300000191,11.06849957,11.06849957,4.700358989,4.700358989,2049.109695,0.001669031349,25
1,18,34,1,178.87,2146.44,-0.8999999762,-1,-1,-0.8999999762,10.88990021,10.88990021,4.624514825,4.624514825,2142.018582,0.001744707065,26
1,18,34,2,178.87,2146.44,-56.29999924,-7,-7,-56.29999924,10.88990021,10.88990021,4.624514825,4.624514825,2142.018582,0.001744707065,26
1,18,34,3,178.87,2146.44,56.29999924,-2,-2,56.29999924,10.88990021,10.88990021,4.624514825,4.624514825,2142.018582,0.001744707065,26
1,18,34,4,178.87,2146.44,13,-57,-57,13,10.88990021,10.88990021,4.624514825,4.624514825,2142.018582,0.001744707065,26
