energy_mevu,depth_mm,x_fwhm_mm,y_fwhm_mm,sigma_x_mm,sigma_y_mm,sigma_fit_mm,reference_sigma_fit_mm,reference_sigma_mm,raw_to_reference_sigma_fit_delta_mm
198.36,0.0,9.26,9.31,3.9323599353852114,3.953592980392691,3.9429764578889515,3.94,4.06,0.0029764578889515114
198.36,150.0,7.84,8.05,3.3293414571727924,3.418520246204207,3.3739308516885,3.37,3.51,0.003930851688499715
198.36,300.0,6.5,6.72,2.7602958509723408,2.8537212490052504,2.8070085499887956,2.81,2.96,-0.0029914500112044884
201.03,-300.0,11.93,11.85,5.066204538784619,5.032231666772652,5.049218102778635,5.05,5.08,-0.0007818972213646802
201.03,-150.0,10.55,10.59,4.4801724965781835,4.497158932584167,4.488665714581176,4.49,4.54,-0.0013342854188245212
201.03,0.0,9.05,9.24,3.8431811463537975,3.9238667173822197,3.883523931868009,3.88,4.01,0.0035239318680089227
201.03,150.0,7.8,8.06,3.3123550211668085,3.4227668552057025,3.3675609381862555,3.37,3.47,-0.0024390618137446474
201.03,300.0,6.37,6.72,2.7050899339528938,2.8537212490052504,2.779405591479072,2.78,2.93,-0.0005944085209277361
203.67,-300.0,12.25,11.88,5.202096026832488,5.0449714937771395,5.123533760304814,5.12,5.02,0.0035337603048137822
203.67,-150.0,10.82,10.63,4.594830939618573,4.514145368590151,4.554488154104362,4.55,4.49,0.0044881541043624296
203.67,0.0,9.25,9.31,3.9281133263837154,3.953592980392691,3.940853153388203,3.94,3.96,0.0008531533882032427
203.67,150.0,8.05,8.23,3.418520246204207,3.494959208231133,3.45673972721767,3.46,3.43,-0.003260272782330098
203.67,300.0,6.61,6.96,2.8070085499887956,2.955639865041152,2.881324207514974,2.88,2.89,0.001324207514973974
206.28,-300.0,12.16,12.03,5.163876545819025,5.108670628799578,5.136273587309301,5.14,4.97,-0.0037264126906988437
206.28,-150.0,10.77,10.78,4.573597894611093,4.57784450361259,4.575721199111841,4.58,4.44,-0.004278800888158685
206.28,0.0,9.18,9.56,3.898387063373244,4.0597582054300885,3.9790726344016663,3.98,3.92,-0.0009273655983337292
206.28,150.0,7.88,8.43,3.346327893178776,3.579891388261051,3.4631096407199133,3.47,3.39,-0.006890359280086855
206.28,300.0,6.53,7.23,2.7730356779768286,3.0702983080815422,2.921666993029185,2.93,2.86,-0.00833300697081496
208.87,-300.0,12.31,11.67,5.227575680841464,4.9557927047457255,5.091684192793595,5.09,4.91,0.0016841927935953294
208.87,-150.0,10.97,10.46,4.658530074641012,4.441953015564721,4.550241545102867,4.55,4.39,0.00024154510286678033
208.87,0.0,9.39,9.14,3.9875658524046584,3.8814006273672605,3.9344832398859593,3.93,3.87,0.004483239885959112
208.87,150.0,8.07,8.05,3.4270134642071985,3.418520246204207,3.422766855205703,3.42,3.35,0.002766855205702967
208.87,300.0,6.63,6.91,2.8155017679917873,2.934406820033673,2.8749542940127304,2.88,2.82,-0.0050457059872695
211.44,-300.0,12.02,11.68,5.104424019798082,4.960039313747221,5.032231666772652,5.03,4.86,0.0022316667726514083
211.44,-150.0,10.79,10.49,4.582091112614085,4.454692842569208,4.518391977591646,4.52,4.34,-0.001608022408353449
211.44,0.0,9.12,9.16,3.8729074093642684,3.8898938453702523,3.8814006273672605,3.88,3.83,0.001400627367260654
211.44,150.0,7.82,8.03,3.3208482391698007,3.410027028201214,3.3654376336855076,3.37,3.31,-0.004562366314492472
211.44,300.0,6.39,6.91,2.7135831519558855,2.934406820033673,2.823994985994779,2.83,2.79,-0.006005014005221021
213.98,-300.0,11.9,11.6,5.053464711780132,4.926066441735254,4.9897655767576925,4.99,4.81,-0.00023442324230771305
213.98,-150.0,10.43,10.42,4.429213188560232,4.4249665795587365,4.427089884059484,4.43,4.3,-0.002910115940515823
213.98,0.0,9.01,9.18,3.8261947103478136,3.898387063373244,3.862290886860529,3.86,3.78,0.002290886860528918
213.98,150.0,7.59,8.04,3.2231762321353945,3.4142736372027103,3.3187249346690524,3.32,3.27,-0.0012750653309474558
213.98,300.0,6.2,6.92,2.6328975809274633,2.9386534290351687,2.785775504981316,2.79,2.76,-0.004224495018684049
216.5,-300.0,11.4,11.46,4.841134261705336,4.866613915714312,4.853874088709824,4.85,4.76,0.003874088709824086
216.5,-150.0,10.12,10.34,4.297568309513859,4.3909937075467695,4.344281008530315,4.34,4.25,0.004281008530314878
216.5,0.0,8.69,9.12,3.6903032222999443,3.8729074093642684,3.781605315832106,3.78,3.74,0.0016053158321063243
216.5,150.0,7.43,7.99,3.15523048811146,3.393040592195231,3.2741355401533454,3.28,3.23,-0.005864459846654402
216.5,300.0,6.07,6.9,2.5776916639080167,2.930160211032177,2.753925937470097,2.76,2.73,-0.006074062529902946
219.0,-300.0,10.78,11.43,4.57784450361259,4.853874088709824,4.715859296161207,4.72,4.72,-0.004140703838793058
219.0,-150.0,9.7,10.25,4.119210731451031,4.352774226533306,4.235992478992168,4.24,4.21,-0.004007521007832082
219.0,0.0,8.81,9.05,3.7412625303178957,3.8431811463537975,3.7922218383358466,3.79,3.7,0.0022218383358465488
219.0,150.0,8.03,7.96,3.410027028201214,3.3803007651907433,3.395163896695979,3.4,3.2,-0.0048361033040209556
219.0,300.0,7.26,6.75,3.0830381350860296,2.866461076009738,2.974749605547884,2.98,2.69,-0.005250394452116058
221.48,-300.0,10.69,11.33,4.539625022599126,4.811407998694865,4.675516510646995,4.68,4.67,-0.004483489353004799
221.48,-150.0,9.61,10.13,4.080991250437568,4.301814918515356,4.191403084476462,4.19,4.17,0.0014030844764612027
221.48,0.0,8.68,8.96,3.6860566132984487,3.8049616653403344,3.745509139319392,3.75,3.66,-0.004490860680608222
221.48,150.0,7.87,7.89,3.3420812841772802,3.350574502180272,3.346327893178776,3.35,3.16,-0.003672106821224208
221.48,300.0,7.36,6.74,3.125504225100989,2.8622144670082426,2.9938593460546157,3.0,2.66,-0.006140653945384322
223.94,-300.0,10.62,10.94,4.509898759588655,4.645790247636524,4.577844503612589,4.58,4.63,-0.0021554963874113042
223.94,-150.0,9.59,9.81,4.072498032434576,4.165923430467487,4.119210731451032,4.12,4.12,-0.0007892685489681028
223.94,0.0,8.6,8.53,3.6520837412864813,3.62235747827601,3.6372206097812456,3.64,3.62,-0.002779390218754507
223.94,150.0,7.88,7.46,3.346327893178776,3.167970315115948,3.257149104147362,3.26,3.13,-0.002850895852637869
223.94,300.0,7.52,6.24,3.193449969124923,2.649884016933447,2.921666993029185,2.93,2.64,-0.00833300697081496
226.37,-300.0,10.37,11.01,4.4037335345512565,4.675516510646995,4.539625022599125,4.54,4.58,-0.0003749774008747764
226.37,-150.0,9.32,9.94,3.957839589394187,4.221129347486933,4.08948446844056,4.09,4.08,-0.0005155315594400633
226.37,0.0,8.28,8.69,3.516192253238612,3.6903032222999443,3.603247737769278,3.6,3.59,0.003247737769278114
226.37,150.0,7.45,7.7,3.163723706114452,3.2698889311518498,3.216806318633151,3.22,3.09,-0.003193681366849166
226.37,300.0,6.87,6.56,2.917420384027689,2.785775504981316,2.8515979445045025,2.85,2.61,0.0015979445045024576
228.79,-300.0,11.16,10.86,4.739215645669434,4.611817375624557,4.675516510646995,4.68,4.54,-0.004483489353004799
228.79,-150.0,9.86,9.75,4.187156475474966,4.140443776458511,4.1638001259667385,4.16,4.04,0.003800125966738399
