300 150 0 -150 -300
320.02	4.51 	4.48 	5.28 	5.34 	6.05 	6.03 	7.11 	6.92 	8.16 	7.82 
322.04	4.75 	4.42 	5.30 	5.20 	6.04 	5.95 	6.89 	6.76 	7.83 	7.67 
324.06	4.37 	4.47 	5.30 	5.31 	6.15 	6.02 	7.32 	6.88 	8.34 	7.67 
326.08	4.82 	4.41 	5.29 	5.18 	6.00 	5.92 	6.84 	6.73 	7.70 	7.54 
328.09	4.38 	4.56 	5.18 	5.31 	6.05 	6.00 	7.13 	6.87 	8.16 	7.70 
330.09	4.38 	4.54 	5.18 	5.36 	6.06 	6.05 	7.14 	6.86 	8.16 	7.74 
332.09	4.32 	4.44 	5.14 	5.26 	6.08 	5.98 	7.23 	6.81 	8.24 	7.61 
334.09	4.32 	4.53 	5.04 	5.26 	5.89 	5.97 	6.93 	6.80 	7.97 	7.64 
336.08	4.33 	4.43 	5.11 	5.25 	5.92 	5.90 	6.98 	6.73 	8.03 	7.50 
338.06	4.32 	4.42 	5.11 	5.15 	6.05 	5.87 	7.08 	6.66 	8.13 	7.48 
340.04	4.23 	4.23 	5.12 	5.13 	6.02 	5.78 	7.08 	6.63 	8.09 	7.39 
342.01	4.30 	4.36 	5.00 	5.12 	5.81 	5.83 	6.79 	6.63 	7.80 	7.44 
343.97	4.47 	4.13 	5.02 	4.99 	5.71 	5.67 	6.62 	6.45 	7.60 	7.29 
345.93	4.88 	4.14 	5.17 	4.91 	5.69 	5.56 	6.50 	6.42 	7.37 	7.25 
347.88	4.47 	4.15 	5.00 	4.99 	5.67 	5.64 	6.63 	6.43 	7.57 	7.22 
349.83	4.37 	4.21 	4.96 	4.99 	5.65 	5.64 	6.62 	6.41 	7.58 	7.25 
351.77	4.30 	4.42 	4.94 	5.10 	5.69 	5.74 	6.67 	6.56 	7.63 	7.32 
353.7	4.20 	4.33 	4.97 	5.15 	5.79 	5.77 	6.86 	6.52 	7.81 	7.30 
355.62	4.21 	4.31 	4.93 	5.08 	5.64 	5.72 	6.62 	6.46 	7.59 	7.25 
357.53	4.33 	4.38 	4.92 	5.07 	5.62 	5.70 	6.55 	6.45 	7.47 	7.23 
359.44	4.58 	4.18 	4.96 	4.89 	5.60 	5.59 	6.42 	6.27 	7.32 	7.11 
361.34	4.32 	4.30 	4.90 	5.05 	5.58 	5.66 	6.49 	6.37 	7.43 	7.09 
363.23	4.47 	4.27 	4.97 	5.00 	5.58 	5.65 	6.41 	6.42 	7.25 	7.14 
365.1	4.18 	4.25 	4.90 	5.02 	5.62 	5.58 	6.54 	6.27 	7.49 	7.09 
366.97	4.28 	4.37 	4.81 	5.05 	5.58 	5.66 	6.48 	6.39 	7.38 	7.15 
368.83	4.14 	4.54 	4.79 	5.19 	5.61 	5.84 	6.54 	6.51 	7.55 	7.31 
370.68	4.17 	4.47 	4.80 	5.14 	5.57 	5.75 	6.46 	6.46 	7.37 	7.20 
372.51	4.87 	4.19 	5.22 	4.96 	5.59 	5.54 	6.24 	6.27 	6.98 	7.05 
374.34	4.26 	4.50 	4.76 	5.14 	5.42 	5.74 	6.33 	6.45 	7.34 	7.20 
376.15	4.28 	4.28 	4.77 	4.93 	5.42 	5.60 	6.33 	6.28 	7.27 	7.01 
377.95	4.47 	4.23 	4.88 	4.90 	5.36 	5.50 	6.18 	6.26 	6.97 	6.92 
379.73	4.36 	4.25 	4.78 	4.87 	5.39 	5.59 	6.17 	6.26 	6.93 	6.95 
381.51	4.75 	4.30 	5.04 	5.02 	5.42 	5.67 	6.11 	6.31 	6.87 	6.96 
383.26	4.59 	4.10 	4.92 	4.84 	5.40 	5.49 	6.07 	6.06 	6.86 	6.82 
385.01	4.67 	4.07 	4.96 	4.83 	5.37 	5.39 	6.07 	6.10 	6.82 	6.78 
386.73	4.33 	4.05 	4.77 	4.76 	5.32 	5.37 	6.06 	6.04 	6.86 	6.78 
388.44	4.78 	4.09 	4.96 	4.77 	5.36 	5.35 	6.05 	6.06 	6.69 	6.77 
390.14	4.76 	4.00 	5.10 	4.72 	5.37 	5.26 	6.04 	5.93 	6.69 	6.64 
391.82	4.47 	4.28 	4.83 	4.97 	5.35 	5.56 	6.06 	6.21 	6.77 	6.83 
393.47	4.41 	4.24 	4.77 	4.88 	5.34 	5.47 	6.04 	6.10 	6.82 	6.75 
395.11	4.86 	3.91 	5.07 	4.66 	5.36 	5.22 	6.02 	5.91 	6.65 	6.58 
396.73	4.75 	3.90 	5.03 	4.65 	5.35 	5.22 	6.03 	5.88 	6.66 	6.57 
398.34	4.65 	4.10 	4.92 	4.75 	5.33 	5.35 	6.00 	5.99 	6.67 	6.71 
399.92	4.76 	4.26 	4.91 	4.85 	5.34 	5.47 	6.02 	6.12 	6.78 	6.81 
