Energy[MeV/u],Depth[mm],Sigma_fit[mm],Sigma[mm]
338.06,150.0,2.18,2.16
338.06,300.0,1.86,1.88
340.04,-300.0,3.29,3.21
340.04,-150.0,2.91,2.84
340.04,0.0,2.51,2.48
340.04,150.0,2.18,2.15
340.04,300.0,1.8,1.88
342.01,-300.0,3.24,3.2
342.01,-150.0,2.85,2.82
342.01,0.0,2.47,2.47
342.01,150.0,2.15,2.15
342.01,300.0,1.84,1.87
343.97,-300.0,3.16,3.18
343.97,-150.0,2.78,2.81
343.97,0.0,2.42,2.46
343.97,150.0,2.13,2.14
343.97,300.0,1.83,1.87
345.93,-300.0,3.1,3.17
345.93,-150.0,2.74,2.8
345.93,0.0,2.39,2.45
345.93,150.0,2.14,2.14
345.93,300.0,1.92,1.87
347.88,-300.0,3.14,3.15
347.88,-150.0,2.77,2.79
347.88,0.0,2.4,2.44
347.88,150.0,2.12,2.13
347.88,300.0,1.83,1.87
349.83,-300.0,3.15,3.14
349.83,-150.0,2.77,2.77
349.83,0.0,2.4,2.43
349.83,150.0,2.11,2.13
349.83,300.0,1.82,1.87
351.77,-300.0,3.18,3.12
351.77,-150.0,2.81,2.76
351.77,0.0,2.43,2.42
351.77,150.0,2.13,2.12
351.77,300.0,1.85,1.87
353.7,-300.0,3.21,3.11
353.7,-150.0,2.84,2.75
353.7,0.0,2.45,2.42
353.7,150.0,2.15,2.12
353.7,300.0,1.81,1.87
355.62,-300.0,3.15,3.09
355.62,-150.0,2.78,2.74
355.62,0.0,2.41,2.41
355.62,150.0,2.13,2.11
355.62,300.0,1.81,1.87
357.53,-300.0,3.12,3.08
357.53,-150.0,2.76,2.73
357.53,0.0,2.4,2.4
357.53,150.0,2.12,2.11
357.53,300.0,1.85,1.87
359.44,-300.0,3.06,3.07
359.44,-150.0,2.69,2.72
359.44,0.0,2.38,2.39
359.44,150.0,2.09,2.11
359.44,300.0,1.86,1.87
361.34,-300.0,3.08,3.05
361.34,-150.0,2.73,2.71
361.34,0.0,2.39,2.39
361.34,150.0,2.11,2.1
361.34,300.0,1.83,1.88
363.23,-300.0,3.06,3.04
363.23,-150.0,2.72,2.7
363.23,0.0,2.38,2.38
363.23,150.0,2.12,2.1
363.23,300.0,1.86,1.88
365.1,-300.0,3.1,3.03
365.1,-150.0,2.72,2.69
365.1,0.0,2.38,2.37
365.1,150.0,2.11,2.1
365.1,300.0,1.79,1.88
366.97,-300.0,3.09,3.01
366.97,-150.0,2.73,2.68
366.97,0.0,2.39,2.37
366.97,150.0,2.09,2.1
366.97,300.0,1.84,1.88
368.83,-300.0,3.16,3.0
368.83,-150.0,2.77,2.67
368.83,0.0,2.43,2.36
368.83,150.0,2.12,2.09
368.83,300.0,1.84,1.89
370.68,-300.0,3.09,2.99
370.68,-150.0,2.74,2.66
370.68,0.0,2.4,2.36
370.68,150.0,2.11,2.09
370.68,300.0,1.84,1.89
372.51,-300.0,2.98,2.98
372.51,-150.0,2.66,2.65
372.51,0.0,2.36,2.35
372.51,150.0,2.16,2.09
372.51,300.0,1.93,1.89
374.34,-300.0,3.09,2.96
374.34,-150.0,2.71,2.64
374.34,0.0,2.37,2.34
374.34,150.0,2.1,2.09
374.34,300.0,1.86,1.9
376.15,-300.0,3.03,2.95
376.15,-150.0,2.68,2.63
376.15,0.0,2.34,2.34
376.15,150.0,2.06,2.09
376.15,300.0,1.82,1.9
377.95,-300.0,2.95,2.94
377.95,-150.0,2.64,2.62
377.95,0.0,2.31,2.33
377.95,150.0,2.08,2.09
377.95,300.0,1.85,1.9
379.73,-300.0,2.95,2.93
379.73,-150.0,2.64,2.61
379.73,0.0,2.33,2.33
379.73,150.0,2.05,2.09
379.73,300.0,1.83,1.91
381.51,-300.0,2.94,2.92
381.51,-150.0,2.64,2.61
381.51,0.0,2.36,2.33
381.51,150.0,2.14,2.09
381.51,300.0,1.92,1.91
383.26,-300.0,2.9,2.91
383.26,-150.0,2.58,2.6
383.26,0.0,2.31,2.32
383.26,150.0,2.07,2.09
383.26,300.0,1.85,1.92
385.01,-300.0,2.89,2.89
385.01,-150.0,2.58,2.59
385.01,0.0,2.28,2.32
385.01,150.0,2.08,2.09
385.01,300.0,1.86,1.92
386.73,-300.0,2.9,2.88
386.73,-150.0,2.57,2.58
386.73,0.0,2.27,2.31
386.73,150.0,2.02,2.09
386.73,300.0,1.78,1.92
388.44,-300.0,2.86,2.87
388.44,-150.0,2.57,2.57
388.44,0.0,2.27,2.31
388.44,150.0,2.07,2.09
388.44,300.0,1.89,1.93
390.14,-300.0,2.83,2.86
390.14,-150.0,2.54,2.57
390.14,0.0,2.26,2.31
390.14,150.0,2.09,2.09
390.14,300.0,1.87,1.93
391.82,-300.0,2.89,2.85
391.82,-150.0,2.61,2.56
391.82,0.0,2.32,2.3
391.82,150.0,2.08,2.09
391.82,300.0,1.86,1.94
393.47,-300.0,2.88,2.84
393.47,-150.0,2.58,2.55
393.47,0.0,2.3,2.3
393.47,150.0,2.05,2.09
393.47,300.0,1.84,1.95
395.11,-300.0,2.81,2.83
395.11,-150.0,2.53,2.55
395.11,0.0,2.25,2.3
395.11,150.0,2.07,2.09
395.11,300.0,1.87,1.95
396.73,-300.0,2.81,2.82
396.73,-150.0,2.53,2.54
396.73,0.0,2.24,2.29
396.73,150.0,2.06,2.09
396.73,300.0,1.85,1.96
398.34,-300.0,2.84,2.81
398.34,-150.0,2.55,2.53
398.34,0.0,2.27,2.29
398.34,150.0,2.05,2.1
398.34,300.0,1.86,1.96
399.92,-300.0,2.89,2.8
399.92,-150.0,2.58,2.53
399.92,0.0,2.3,2.29
399.92,150.0,2.07,2.1
399.92,300.0,1.92,1.97
