Energy[MeV/u],thetax2_sqrt[rad],thetay2_sqrt[rad],xtheta[mm rad],ytheta[mm rad],x2_sqrt[mm],y2_sqrt[mm]
278.42,0.0032619125380393466,0.0032619125380393466,0.0011824950300843625,0.0011824950300843625,1.4348426157056424,1.4348426157056424
280.56,0.003196715319334415,0.003196715319334415,0.0013621738657036769,0.0013621738657036769,1.3766930233604064,1.3766930233604064
282.69,0.0031995087861607465,0.0031995087861607465,0.0012484157992003729,0.0012484157992003729,1.3937172014611006,1.3937172014611006
284.81,0.0031959434211102484,0.0031959434211102484,0.0011081888352631173,0.0011081888352631173,1.4173044206375487,1.4173044206375487
286.93,0.003193036195373494,0.003193036195373494,0.0010653451784620007,0.0010653451784620007,1.400444128218418,1.400444128218418
289.04,0.0031954605252249137,0.0031954605252249137,0.0009551212945199129,0.0009551212945199129,1.4166032857235007,1.4166032857235007
291.14,0.0031792898947230245,0.0031792898947230245,0.0008952840605650703,0.0008952840605650703,1.4213118061931584,1.4213118061931584
293.24,0.0031714048405964493,0.0031714048405964493,0.0008486434909745127,0.0008486434909745127,1.4196057434149827,1.4196057434149827
295.33,0.003125550189107514,0.003125550189107514,0.0009735719474566955,0.0009735719474566955,1.3744376708261625,1.3744376708261625
297.42,0.003127905041627651,0.003127905041627651,0.0008662802240734317,0.0008662802240734317,1.390452750328075,1.390452750328075
299.5,0.00311171736440092,0.00311171736440092,0.0008082068583103297,0.0008082068583103297,1.3950726230186747,1.3950726230186747
301.57,0.0030610638440594674,0.0030610638440594674,0.000925264071161489,0.000925264071161489,1.3651615004371063,1.3651615004371063
303.64,0.0031059483371773987,0.0031059483371773987,0.0006585388528532934,0.0006585388528532934,1.4086235990744036,1.4086235990744036
305.71,0.003155149460904836,0.003155149460904836,0.00032862752679667227,0.00032862752679667227,1.4807478524693494,1.4807478524693494
307.77,0.00310559142522557,0.00310559142522557,0.00044589590578253586,0.00044589590578253586,1.452563617599157,1.452563617599157
309.82,0.0031075979749163366,0.0031075979749163366,0.00034398757917202585,0.00034398757917202585,1.4667538975294268,1.4667538975294268
311.87,0.0030873179255098224,0.0030873179255098224,0.0003749238521692782,0.0003749238521692782,1.4479010809304314,1.4479010809304314
313.91,0.003089199656423733,0.003089199656423733,0.00027459278719204944,0.00027459278719204944,1.4618945428337304,1.4618945428337304
315.95,0.003086771776696774,0.003086771776696774,0.0001681355175013385,0.0001681355175013385,1.4894311316980526,1.4894311316980526
317.99,0.0030253161775576007,0.0030253161775576007,0.0003539602951971038,0.0003539602951971038,1.4456242026585757,1.4456242026585757
320.02,0.003027441364228348,0.003027441364228348,0.0002546072822653215,0.0002546072822653215,1.4594478100761037,1.4594478100761037
322.04,0.003083948066364713,0.003083948066364713,-5.0724490297934784e-05,-5.0724490297934784e-05,1.5210239662981455,1.5210239662981455
324.06,0.0030231033777158504,0.0030231033777158504,0.00013359625616723726,0.00013359625616723726,1.478478967917721,1.478478967917721
326.08,0.003071531001867993,0.003071531001867993,-0.000180935863849312,-0.000180935863849312,1.5441397132343848,1.5441397132343848
328.09,0.002970404017153885,0.002970404017153885,0.0001512660493945768,0.0001512660493945768,1.478705326621436,1.478705326621436
330.09,0.0030273413565083548,0.0030273413565083548,-0.0001499417009717954,-0.0001499417009717954,1.5386738920338632,1.5386738920338632
332.09,0.0030133425268136656,0.0030133425268136656,-0.00018360909386390007,-0.00018360909386390007,1.5490248112783784,1.5490248112783784
334.09,0.0029522417682066723,0.0029522417682066723,-1.8205230493825733e-06,-1.8205230493825733e-06,1.5077099145768695,1.5077099145768695
336.08,0.002969419946005634,0.002969419946005634,-0.00015462409695591144,-0.00015462409695591144,1.5438220342399287,1.5438220342399287
338.06,0.002955497560747518,0.002955497560747518,-0.00018826869340170854,-0.00018826869340170854,1.5540345924404046,1.5540345924404046
340.04,0.0029415557102608915,0.0029415557102608915,-0.00022158618166652646,-0.00022158618166652646,1.5640783396487397,1.5640783396487397
342.01,0.0029118580388095014,0.0029118580388095014,-0.00016129406073072048,-0.00016129406073072048,1.5490938961397296,1.5490938961397296
343.97,0.002898016159883592,0.002898016159883592,-0.00019491263529964673,-0.00019491263529964673,1.5591674547194483,1.5591674547194483
