energy_mevu,rmse_mm,isocenter_error_mm,sigma_source_mm,sigma_prime_rad,correlation
334.09,0.002140811927093356,0.00015288405299429542,1.5077099145768695,0.0029522417682066723,-0.00040900297858774263
336.08,0.002392688517989233,5.7761000942679885e-05,1.5438220342399287,0.002969419946005634,-0.03372937700844447
338.06,0.0004955490759311973,0.0004164420530536894,1.5540345924404046,0.002955497560747518,-0.04099084031433762
340.04,0.003287288499880958,0.0008841406854060985,1.5640783396487397,0.0029415557102608915,-0.04816228621530021
342.01,0.0023274285898031576,1.6863788139254154e-05,1.5490938961397296,0.0029118580388095014,-0.035757770694190304
343.97,0.0005638986318903432,0.00044977949316171717,1.5591674547194483,0.002898016159883592,-0.043136651476909454
345.93,0.001715477294000009,0.002390684849843172,1.579390640267419,0.002903472962591676,-0.06066766084437847
347.88,0.0022787744074378082,0.001930226734389251,1.5891413588283714,0.002889719613247201,-0.06782780258102092
349.83,0.002798554274377119,0.0017899292204344164,1.6235518881734283,0.0029083401462457956,-0.09865017880538574
351.77,0.0008610407700050198,0.001333039337974018,1.6329057333115924,0.0028947675831668485,-0.10551214420911266
353.7,0.0013001808516866055,0.0010889494239147979,1.6173789373443965,0.0028492792028781766,-0.08276645065508723
355.62,0.001958658152313314,0.0015353974981406893,1.6267458355829663,0.0028357026256386913,-0.08987698928213088
357.53,0.0008672566126480107,0.0012862145390313273,1.6462749073205587,0.002842079691316121,-0.10671362733587929
359.44,0.002731948205244375,0.00410194922632412,1.665623991715072,0.0028485801266961894,-0.12315411203839825
361.34,0.0033059903893671552,0.002586068459848878,1.687047973791995,0.0028318183789783477,-0.1315106019339201
363.23,0.0015359600525211021,0.00022366680106333803,1.7060273419714942,0.002838673151920409,-0.1474449538464472
365.1,0.0018804067565667334,0.0030274465426796127,1.724844870320713,0.0028456485378756794,-0.1630212437809589
366.97,0.000922155609436609,0.001188869356890887,1.6825417742629294,0.0027415425320067616,-0.10900616770399799
368.83,0.002786812717167379,0.0008364389388892945,1.7640106932927215,0.0028365845104031243,-0.1861317836082172
370.68,0.002442530067693773,0.0032578739325095363,1.7504724300587358,0.0027922933038206574,-0.1677646855759699
372.51,0.0002903962320676545,0.0004681647772830644,1.7690387085130665,0.0028000796454678,-0.18326806793360353
374.34,0.0019171652371044485,0.001899460172757994,1.8043260809834218,0.0027987427452485537,-0.20283977265908051
376.15,0.00035894371479605494,0.0005256515928535599,1.7914418314302716,0.0027547116982903257,-0.18550575691077686
377.95,0.0018476474124829187,0.002248306553187973,1.8098495494052935,0.002763308897659032,-0.20098258782301773
379.73,0.001626134494045646,0.0011993853453406977,1.8401682252962073,0.0027692961515735186,-0.21774020994270796
381.51,0.0004611347624693683,0.0005810280266254075,1.8142263969252228,0.0027101744116252292,-0.18866223493630802
383.26,0.0007267289513828025,0.0011659978484321876,1.8748611732220057,0.0027696284640135525,-0.23708341231279803
385.01,0.0005801309084109015,0.000634237861114606,1.8373778270943169,0.00266650884891859,-0.19274455923566253
386.73,0.0016166618570669267,0.002120508445969449,1.8557504780255325,0.0026765489424438703,-0.20880466288108002
388.44,0.0014138540990164712,0.0013260825146215183,1.8859969412951243,0.0026841209763922027,-0.22635458709425735
390.14,0.0007080880936431871,0.000685223401821311,1.8608820386352096,0.0026237579546052174,-0.19775860043208804
391.82,0.0007459404456163469,0.0010479404393226588,1.9206027260442828,0.0026863350472178162,-0.2466600952915507
393.47,0.001500727993431565,0.002396199616603756,1.9502693052092377,0.002694663550344311,-0.26333980805579654
395.11,0.0021663553087858086,0.0017399164912044185,1.926031754517187,0.0026347924035597346,-0.23728471288110634
396.73,0.0016935025712924272,1.655326697536097e-05,1.9842010080902095,0.0026978713655550525,-0.28276703542815596
398.34,0.0023314790708579072,0.0012750674187680389,1.9604719694234591,0.002618706761479191,-0.2527138442290626
399.92,0.0008992795890763298,0.0009362213279264786,1.976968207224057,0.002611046708389889,-0.2581751076080144
